Date,Symbol,Order,Shares
2006-01-03,SINE_FAST_NOISE,BUY,500
2006-01-09,SINE_FAST_NOISE,SELL,1000
2006-01-10,SINE_FAST_NOISE,BUY,1000
2006-01-13,SINE_FAST_NOISE,SELL,1000
2006-01-17,SINE_FAST_NOISE,BUY,1000
2006-01-26,SINE_FAST_NOISE,SELL,1000
2006-01-31,SINE_FAST_NOISE,BUY,1000
2006-02-06,SINE_FAST_NOISE,SELL,1000
2006-02-09,SINE_FAST_NOISE,BUY,1000
2006-02-13,SINE_FAST_NOISE,SELL,1000
2006-02-16,SINE_FAST_NOISE,BUY,1000
2006-02-17,SINE_FAST_NOISE,SELL,1000
2006-02-22,SINE_FAST_NOISE,BUY,1000
2006-02-24,SINE_FAST_NOISE,SELL,1000
2006-02-28,SINE_FAST_NOISE,BUY,1000
2006-03-07,SINE_FAST_NOISE,SELL,1000
2006-03-16,SINE_FAST_NOISE,BUY,1000
2006-03-23,SINE_FAST_NOISE,SELL,1000
2006-03-30,SINE_FAST_NOISE,BUY,1000
2006-04-03,SINE_FAST_NOISE,SELL,1000
2006-04-04,SINE_FAST_NOISE,BUY,1000
2006-04-07,SINE_FAST_NOISE,SELL,1000
2006-04-12,SINE_FAST_NOISE,BUY,1000
2006-04-24,SINE_FAST_NOISE,SELL,1000
2006-04-26,SINE_FAST_NOISE,BUY,1000
2006-05-05,SINE_FAST_NOISE,SELL,1000
2006-05-08,SINE_FAST_NOISE,BUY,1000
2006-05-11,SINE_FAST_NOISE,SELL,1000
2006-05-12,SINE_FAST_NOISE,BUY,1000
2006-05-17,SINE_FAST_NOISE,SELL,1000
2006-05-18,SINE_FAST_NOISE,BUY,1000
2006-05-23,SINE_FAST_NOISE,SELL,1000
2006-05-24,SINE_FAST_NOISE,BUY,1000
2006-05-26,SINE_FAST_NOISE,SELL,1000
2006-06-01,SINE_FAST_NOISE,BUY,1000
2006-06-07,SINE_FAST_NOISE,SELL,1000
2006-06-08,SINE_FAST_NOISE,BUY,1000
2006-06-09,SINE_FAST_NOISE,SELL,1000
2006-06-13,SINE_FAST_NOISE,BUY,1000
2006-06-14,SINE_FAST_NOISE,SELL,1000
2006-06-15,SINE_FAST_NOISE,BUY,1000
2006-06-21,SINE_FAST_NOISE,SELL,1000
2006-06-22,SINE_FAST_NOISE,BUY,1000
2006-06-26,SINE_FAST_NOISE,SELL,1000
2006-06-28,SINE_FAST_NOISE,BUY,1000
2006-06-29,SINE_FAST_NOISE,SELL,1000
2006-07-03,SINE_FAST_NOISE,BUY,1000
2006-07-05,SINE_FAST_NOISE,SELL,1000
2006-07-06,SINE_FAST_NOISE,BUY,1000
2006-07-10,SINE_FAST_NOISE,SELL,1000
2006-07-17,SINE_FAST_NOISE,BUY,1000
2006-07-18,SINE_FAST_NOISE,SELL,1000
2006-07-19,SINE_FAST_NOISE,BUY,1000
2006-07-20,SINE_FAST_NOISE,SELL,1000
2006-07-24,SINE_FAST_NOISE,BUY,1000
2006-07-26,SINE_FAST_NOISE,SELL,1000
2006-07-27,SINE_FAST_NOISE,BUY,1000
2006-07-28,SINE_FAST_NOISE,SELL,1000
2006-08-03,SINE_FAST_NOISE,BUY,1000
2006-08-07,SINE_FAST_NOISE,SELL,1000
2006-08-09,SINE_FAST_NOISE,BUY,1000
2006-08-14,SINE_FAST_NOISE,SELL,1000
2006-08-16,SINE_FAST_NOISE,BUY,1000
2006-08-18,SINE_FAST_NOISE,SELL,1000
2006-08-22,SINE_FAST_NOISE,BUY,1000
2006-08-29,SINE_FAST_NOISE,SELL,1000
2006-08-30,SINE_FAST_NOISE,BUY,1000
2006-08-31,SINE_FAST_NOISE,SELL,1000
2006-09-05,SINE_FAST_NOISE,BUY,1000
2006-09-06,SINE_FAST_NOISE,SELL,1000
2006-09-07,SINE_FAST_NOISE,BUY,1000
2006-09-08,SINE_FAST_NOISE,SELL,1000
2006-09-11,SINE_FAST_NOISE,BUY,1000
2006-09-26,SINE_FAST_NOISE,SELL,1000
2006-09-29,SINE_FAST_NOISE,BUY,1000
2006-10-02,SINE_FAST_NOISE,SELL,1000
2006-10-05,SINE_FAST_NOISE,BUY,1000
2006-10-13,SINE_FAST_NOISE,SELL,1000
2006-10-17,SINE_FAST_NOISE,BUY,1000
2006-10-23,SINE_FAST_NOISE,SELL,1000
2006-10-24,SINE_FAST_NOISE,BUY,1000
2006-10-27,SINE_FAST_NOISE,SELL,1000
2006-10-31,SINE_FAST_NOISE,BUY,1000
2006-11-02,SINE_FAST_NOISE,SELL,1000
2006-11-06,SINE_FAST_NOISE,BUY,1000
2006-11-08,SINE_FAST_NOISE,SELL,1000
2006-11-16,SINE_FAST_NOISE,BUY,1000
2006-11-20,SINE_FAST_NOISE,SELL,1000
2006-12-06,SINE_FAST_NOISE,BUY,1000
2006-12-07,SINE_FAST_NOISE,SELL,1000
2006-12-08,SINE_FAST_NOISE,BUY,1000
2006-12-12,SINE_FAST_NOISE,SELL,1000
2006-12-13,SINE_FAST_NOISE,BUY,1000
2006-12-22,SINE_FAST_NOISE,SELL,1000
2006-12-26,SINE_FAST_NOISE,BUY,1000
2006-12-27,SINE_FAST_NOISE,SELL,1000
2006-12-28,SINE_FAST_NOISE,BUY,1000
2007-01-05,SINE_FAST_NOISE,SELL,1000
2007-01-08,SINE_FAST_NOISE,BUY,1000
2007-01-09,SINE_FAST_NOISE,SELL,1000
2007-01-10,SINE_FAST_NOISE,BUY,1000
2007-01-12,SINE_FAST_NOISE,SELL,1000
2007-01-16,SINE_FAST_NOISE,BUY,1000
2007-01-17,SINE_FAST_NOISE,SELL,1000
2007-01-18,SINE_FAST_NOISE,BUY,1000
2007-01-22,SINE_FAST_NOISE,SELL,1000
2007-01-24,SINE_FAST_NOISE,BUY,1000
2007-01-25,SINE_FAST_NOISE,SELL,1000
2007-02-01,SINE_FAST_NOISE,BUY,1000
2007-02-05,SINE_FAST_NOISE,SELL,1000
2007-02-14,SINE_FAST_NOISE,BUY,1000
2007-02-16,SINE_FAST_NOISE,SELL,1000
2007-02-28,SINE_FAST_NOISE,BUY,1000
2007-03-01,SINE_FAST_NOISE,SELL,1000
2007-03-02,SINE_FAST_NOISE,BUY,1000
2007-03-05,SINE_FAST_NOISE,SELL,1000
2007-03-06,SINE_FAST_NOISE,BUY,1000
2007-03-07,SINE_FAST_NOISE,SELL,1000
2007-03-08,SINE_FAST_NOISE,BUY,1000
2007-03-12,SINE_FAST_NOISE,SELL,1000
2007-03-13,SINE_FAST_NOISE,BUY,1000
2007-03-15,SINE_FAST_NOISE,SELL,1000
2007-03-21,SINE_FAST_NOISE,BUY,1000
2007-03-26,SINE_FAST_NOISE,SELL,1000
2007-03-27,SINE_FAST_NOISE,BUY,1000
2007-04-09,SINE_FAST_NOISE,SELL,1000
2007-04-13,SINE_FAST_NOISE,BUY,1000
2007-04-25,SINE_FAST_NOISE,SELL,1000
2007-04-26,SINE_FAST_NOISE,BUY,1000
2007-04-27,SINE_FAST_NOISE,SELL,1000
2007-05-02,SINE_FAST_NOISE,BUY,1000
2007-05-08,SINE_FAST_NOISE,SELL,1000
2007-05-14,SINE_FAST_NOISE,BUY,1000
2007-05-21,SINE_FAST_NOISE,SELL,1000
2007-05-25,SINE_FAST_NOISE,BUY,1000
2007-05-29,SINE_FAST_NOISE,SELL,1000
2007-05-30,SINE_FAST_NOISE,BUY,1000
2007-05-31,SINE_FAST_NOISE,SELL,1000
2007-06-01,SINE_FAST_NOISE,BUY,1000
2007-06-07,SINE_FAST_NOISE,SELL,1000
2007-06-08,SINE_FAST_NOISE,BUY,1000
2007-06-13,SINE_FAST_NOISE,SELL,1000
2007-06-14,SINE_FAST_NOISE,BUY,1000
2007-06-19,SINE_FAST_NOISE,SELL,1000
2007-06-21,SINE_FAST_NOISE,BUY,1000
2007-06-22,SINE_FAST_NOISE,SELL,1000
2007-06-25,SINE_FAST_NOISE,BUY,1000
2007-06-29,SINE_FAST_NOISE,SELL,1000
2007-07-02,SINE_FAST_NOISE,BUY,1000
2007-07-03,SINE_FAST_NOISE,SELL,1000
2007-07-06,SINE_FAST_NOISE,BUY,1000
2007-07-10,SINE_FAST_NOISE,SELL,1000
2007-07-11,SINE_FAST_NOISE,BUY,1000
2007-07-20,SINE_FAST_NOISE,SELL,1000
2007-07-24,SINE_FAST_NOISE,BUY,1000
2007-07-26,SINE_FAST_NOISE,SELL,1000
2007-08-02,SINE_FAST_NOISE,BUY,1000
2007-08-08,SINE_FAST_NOISE,SELL,1000
2007-08-10,SINE_FAST_NOISE,BUY,1000
2007-08-13,SINE_FAST_NOISE,SELL,1000
2007-08-15,SINE_FAST_NOISE,BUY,1000
2007-08-20,SINE_FAST_NOISE,SELL,1000
2007-08-23,SINE_FAST_NOISE,BUY,1000
2007-08-24,SINE_FAST_NOISE,SELL,1000
2007-08-30,SINE_FAST_NOISE,BUY,1000
2007-08-31,SINE_FAST_NOISE,SELL,1000
2007-09-05,SINE_FAST_NOISE,BUY,1000
2007-09-06,SINE_FAST_NOISE,SELL,1000
2007-09-10,SINE_FAST_NOISE,BUY,1000
2007-09-18,SINE_FAST_NOISE,SELL,1000
2007-09-19,SINE_FAST_NOISE,BUY,1000
2007-09-20,SINE_FAST_NOISE,SELL,1000
2007-09-24,SINE_FAST_NOISE,BUY,1000
2007-09-25,SINE_FAST_NOISE,SELL,1000
2007-09-26,SINE_FAST_NOISE,BUY,1000
2007-09-27,SINE_FAST_NOISE,SELL,1000
2007-10-05,SINE_FAST_NOISE,BUY,1000
2007-10-09,SINE_FAST_NOISE,SELL,1000
2007-10-11,SINE_FAST_NOISE,BUY,1000
2007-10-18,SINE_FAST_NOISE,SELL,1000
2007-10-19,SINE_FAST_NOISE,BUY,1000
2007-10-23,SINE_FAST_NOISE,SELL,1000
2007-10-24,SINE_FAST_NOISE,BUY,1000
2007-10-26,SINE_FAST_NOISE,SELL,1000
2007-10-30,SINE_FAST_NOISE,BUY,1000
2007-10-31,SINE_FAST_NOISE,SELL,1000
2007-11-01,SINE_FAST_NOISE,BUY,1000
2007-11-02,SINE_FAST_NOISE,SELL,1000
2007-11-06,SINE_FAST_NOISE,BUY,1000
2007-11-08,SINE_FAST_NOISE,SELL,1000
2007-11-09,SINE_FAST_NOISE,BUY,1000
2007-11-12,SINE_FAST_NOISE,SELL,1000
2007-11-13,SINE_FAST_NOISE,BUY,1000
2007-11-16,SINE_FAST_NOISE,SELL,1000
2007-11-20,SINE_FAST_NOISE,BUY,1000
2007-11-21,SINE_FAST_NOISE,SELL,1000
2007-11-27,SINE_FAST_NOISE,BUY,1000
2007-11-29,SINE_FAST_NOISE,SELL,1000
2007-12-03,SINE_FAST_NOISE,BUY,1000
2007-12-06,SINE_FAST_NOISE,SELL,1000
2007-12-12,SINE_FAST_NOISE,BUY,1000
2007-12-14,SINE_FAST_NOISE,SELL,1000
2007-12-17,SINE_FAST_NOISE,BUY,1000
2007-12-26,SINE_FAST_NOISE,SELL,1000
2008-01-02,SINE_FAST_NOISE,BUY,1000
2008-01-08,SINE_FAST_NOISE,SELL,1000
2008-01-10,SINE_FAST_NOISE,BUY,1000
2008-01-11,SINE_FAST_NOISE,SELL,1000
2008-01-18,SINE_FAST_NOISE,BUY,1000
2008-01-24,SINE_FAST_NOISE,SELL,1000
2008-01-25,SINE_FAST_NOISE,BUY,1000
2008-01-30,SINE_FAST_NOISE,SELL,1000
2008-01-31,SINE_FAST_NOISE,BUY,1000
2008-02-06,SINE_FAST_NOISE,SELL,1000
2008-02-08,SINE_FAST_NOISE,BUY,1000
2008-02-11,SINE_FAST_NOISE,SELL,1000
2008-02-12,SINE_FAST_NOISE,BUY,1000
2008-02-22,SINE_FAST_NOISE,SELL,1000
2008-02-25,SINE_FAST_NOISE,BUY,1000
2008-02-28,SINE_FAST_NOISE,SELL,1000
2008-02-29,SINE_FAST_NOISE,BUY,1000
2008-03-10,SINE_FAST_NOISE,SELL,1000
2008-03-11,SINE_FAST_NOISE,BUY,1000
2008-03-12,SINE_FAST_NOISE,SELL,1000
2008-03-17,SINE_FAST_NOISE,BUY,1000
2008-03-18,SINE_FAST_NOISE,SELL,1000
2008-03-24,SINE_FAST_NOISE,BUY,1000
2008-03-27,SINE_FAST_NOISE,SELL,1000
2008-04-01,SINE_FAST_NOISE,BUY,1000
2008-04-03,SINE_FAST_NOISE,SELL,1000
2008-04-07,SINE_FAST_NOISE,BUY,1000
2008-05-01,SINE_FAST_NOISE,SELL,1000
2008-05-02,SINE_FAST_NOISE,BUY,1000
2008-05-09,SINE_FAST_NOISE,SELL,1000
2008-05-12,SINE_FAST_NOISE,BUY,1000
2008-05-20,SINE_FAST_NOISE,SELL,1000
2008-05-22,SINE_FAST_NOISE,BUY,1000
2008-05-27,SINE_FAST_NOISE,SELL,1000
2008-05-28,SINE_FAST_NOISE,BUY,1000
2008-06-02,SINE_FAST_NOISE,SELL,1000
2008-06-04,SINE_FAST_NOISE,BUY,1000
2008-06-06,SINE_FAST_NOISE,SELL,1000
2008-06-11,SINE_FAST_NOISE,BUY,1000
2008-06-27,SINE_FAST_NOISE,SELL,1000
2008-06-30,SINE_FAST_NOISE,BUY,1000
2008-07-02,SINE_FAST_NOISE,SELL,1000
2008-07-03,SINE_FAST_NOISE,BUY,1000
2008-07-07,SINE_FAST_NOISE,SELL,1000
2008-07-08,SINE_FAST_NOISE,BUY,1000
2008-07-11,SINE_FAST_NOISE,SELL,1000
2008-07-18,SINE_FAST_NOISE,BUY,1000
2008-07-22,SINE_FAST_NOISE,SELL,1000
2008-07-25,SINE_FAST_NOISE,BUY,1000
2008-07-29,SINE_FAST_NOISE,SELL,1000
2008-08-04,SINE_FAST_NOISE,BUY,1000
2008-08-05,SINE_FAST_NOISE,SELL,1000
2008-08-06,SINE_FAST_NOISE,BUY,1000
2008-08-07,SINE_FAST_NOISE,SELL,1000
2008-08-08,SINE_FAST_NOISE,BUY,1000
2008-08-11,SINE_FAST_NOISE,SELL,1000
2008-08-12,SINE_FAST_NOISE,BUY,1000
2008-09-03,SINE_FAST_NOISE,SELL,1000
2008-09-05,SINE_FAST_NOISE,BUY,1000
2008-09-16,SINE_FAST_NOISE,SELL,1000
2008-09-17,SINE_FAST_NOISE,BUY,1000
2008-09-19,SINE_FAST_NOISE,SELL,1000
2008-09-22,SINE_FAST_NOISE,BUY,1000
2008-09-29,SINE_FAST_NOISE,SELL,1000
2008-09-30,SINE_FAST_NOISE,BUY,1000
2008-10-01,SINE_FAST_NOISE,SELL,1000
2008-10-07,SINE_FAST_NOISE,BUY,1000
2008-10-08,SINE_FAST_NOISE,SELL,1000
2008-10-09,SINE_FAST_NOISE,BUY,1000
2008-10-14,SINE_FAST_NOISE,SELL,1000
2008-10-17,SINE_FAST_NOISE,BUY,1000
2008-10-23,SINE_FAST_NOISE,SELL,1000
2008-10-24,SINE_FAST_NOISE,BUY,1000
2008-10-27,SINE_FAST_NOISE,SELL,1000
2008-10-28,SINE_FAST_NOISE,BUY,1000
2008-11-07,SINE_FAST_NOISE,SELL,1000
2008-11-10,SINE_FAST_NOISE,BUY,1000
2008-11-11,SINE_FAST_NOISE,SELL,1000
2008-11-18,SINE_FAST_NOISE,BUY,1000
2008-11-19,SINE_FAST_NOISE,SELL,1000
2008-11-20,SINE_FAST_NOISE,BUY,1000
2008-11-21,SINE_FAST_NOISE,SELL,1000
2008-11-25,SINE_FAST_NOISE,BUY,1000
2008-12-01,SINE_FAST_NOISE,SELL,1000
2008-12-03,SINE_FAST_NOISE,BUY,1000
2008-12-09,SINE_FAST_NOISE,SELL,1000
2008-12-10,SINE_FAST_NOISE,BUY,1000
2008-12-11,SINE_FAST_NOISE,SELL,1000
2008-12-15,SINE_FAST_NOISE,BUY,1000
2008-12-17,SINE_FAST_NOISE,SELL,1000
2008-12-18,SINE_FAST_NOISE,BUY,1000
2008-12-22,SINE_FAST_NOISE,SELL,1000
2008-12-26,SINE_FAST_NOISE,BUY,1000
2008-12-29,SINE_FAST_NOISE,SELL,1000
2008-12-30,SINE_FAST_NOISE,BUY,1000
2009-01-02,SINE_FAST_NOISE,SELL,1000
2009-01-05,SINE_FAST_NOISE,BUY,1000
2009-01-07,SINE_FAST_NOISE,SELL,1000
2009-01-16,SINE_FAST_NOISE,BUY,1000
2009-01-26,SINE_FAST_NOISE,SELL,1000
2009-01-30,SINE_FAST_NOISE,BUY,1000
2009-02-02,SINE_FAST_NOISE,SELL,1000
2009-02-04,SINE_FAST_NOISE,BUY,1000
2009-02-12,SINE_FAST_NOISE,SELL,1000
2009-02-23,SINE_FAST_NOISE,BUY,1000
2009-02-24,SINE_FAST_NOISE,SELL,1000
2009-02-25,SINE_FAST_NOISE,BUY,1000
2009-02-27,SINE_FAST_NOISE,SELL,1000
2009-03-02,SINE_FAST_NOISE,BUY,1000
2009-03-03,SINE_FAST_NOISE,SELL,1000
2009-03-06,SINE_FAST_NOISE,BUY,1000
2009-03-09,SINE_FAST_NOISE,SELL,1000
2009-03-12,SINE_FAST_NOISE,BUY,1000
2009-03-13,SINE_FAST_NOISE,SELL,1000
2009-03-17,SINE_FAST_NOISE,BUY,1000
2009-03-20,SINE_FAST_NOISE,SELL,1000
2009-03-23,SINE_FAST_NOISE,BUY,1000
2009-03-31,SINE_FAST_NOISE,SELL,1000
2009-04-01,SINE_FAST_NOISE,BUY,1000
2009-04-08,SINE_FAST_NOISE,SELL,1000
2009-04-13,SINE_FAST_NOISE,BUY,1000
2009-04-14,SINE_FAST_NOISE,SELL,1000
2009-04-17,SINE_FAST_NOISE,BUY,1000
2009-04-20,SINE_FAST_NOISE,SELL,1000
2009-04-21,SINE_FAST_NOISE,BUY,1000
2009-04-23,SINE_FAST_NOISE,SELL,1000
2009-04-24,SINE_FAST_NOISE,BUY,1000
2009-04-27,SINE_FAST_NOISE,SELL,1000
2009-04-28,SINE_FAST_NOISE,BUY,1000
2009-04-29,SINE_FAST_NOISE,SELL,1000
2009-05-01,SINE_FAST_NOISE,BUY,1000
2009-05-05,SINE_FAST_NOISE,SELL,1000
2009-05-07,SINE_FAST_NOISE,BUY,1000
2009-05-11,SINE_FAST_NOISE,SELL,1000
2009-05-14,SINE_FAST_NOISE,BUY,1000
2009-05-19,SINE_FAST_NOISE,SELL,1000
2009-05-28,SINE_FAST_NOISE,BUY,1000
2009-06-01,SINE_FAST_NOISE,SELL,1000
2009-06-02,SINE_FAST_NOISE,BUY,1000
2009-06-23,SINE_FAST_NOISE,SELL,1000
2009-06-24,SINE_FAST_NOISE,BUY,1000
2009-06-26,SINE_FAST_NOISE,SELL,1000
2009-06-30,SINE_FAST_NOISE,BUY,1000
2009-07-01,SINE_FAST_NOISE,SELL,1000
2009-07-02,SINE_FAST_NOISE,BUY,1000
2009-07-06,SINE_FAST_NOISE,SELL,1000
2009-07-07,SINE_FAST_NOISE,BUY,1000
2009-07-08,SINE_FAST_NOISE,SELL,1000
2009-07-09,SINE_FAST_NOISE,BUY,1000
2009-07-10,SINE_FAST_NOISE,SELL,1000
2009-07-13,SINE_FAST_NOISE,BUY,1000
2009-07-14,SINE_FAST_NOISE,SELL,1000
2009-07-17,SINE_FAST_NOISE,BUY,1000
2009-07-20,SINE_FAST_NOISE,SELL,1000
2009-07-21,SINE_FAST_NOISE,BUY,1000
2009-07-23,SINE_FAST_NOISE,SELL,1000
2009-07-24,SINE_FAST_NOISE,BUY,1000
2009-07-27,SINE_FAST_NOISE,SELL,1000
2009-07-28,SINE_FAST_NOISE,BUY,1000
2009-07-29,SINE_FAST_NOISE,SELL,1000
2009-07-30,SINE_FAST_NOISE,BUY,1000
2009-07-31,SINE_FAST_NOISE,SELL,1000
2009-08-03,SINE_FAST_NOISE,BUY,1000
2009-08-04,SINE_FAST_NOISE,SELL,1000
2009-08-10,SINE_FAST_NOISE,BUY,1000
2009-08-11,SINE_FAST_NOISE,SELL,1000
2009-08-13,SINE_FAST_NOISE,BUY,1000
2009-08-17,SINE_FAST_NOISE,SELL,1000
2009-08-31,SINE_FAST_NOISE,BUY,1000
2009-09-03,SINE_FAST_NOISE,SELL,1000
2009-09-09,SINE_FAST_NOISE,BUY,1000
2009-09-11,SINE_FAST_NOISE,SELL,1000
2009-09-16,SINE_FAST_NOISE,BUY,1000
2009-09-17,SINE_FAST_NOISE,SELL,1000
2009-09-21,SINE_FAST_NOISE,BUY,1000
2009-09-30,SINE_FAST_NOISE,SELL,1000
2009-10-01,SINE_FAST_NOISE,BUY,1000
2009-10-09,SINE_FAST_NOISE,SELL,1000
2009-10-12,SINE_FAST_NOISE,BUY,1000
2009-10-21,SINE_FAST_NOISE,SELL,1000
2009-10-22,SINE_FAST_NOISE,BUY,1000
2009-10-23,SINE_FAST_NOISE,SELL,1000
2009-10-27,SINE_FAST_NOISE,BUY,1000
2009-10-28,SINE_FAST_NOISE,SELL,1000
2009-11-02,SINE_FAST_NOISE,BUY,1000
2009-11-04,SINE_FAST_NOISE,SELL,1000
2009-11-05,SINE_FAST_NOISE,BUY,1000
2009-11-09,SINE_FAST_NOISE,SELL,1000
2009-11-10,SINE_FAST_NOISE,BUY,1000
2009-11-12,SINE_FAST_NOISE,SELL,1000
2009-11-16,SINE_FAST_NOISE,BUY,1000
2009-11-25,SINE_FAST_NOISE,SELL,1000
2009-12-01,SINE_FAST_NOISE,BUY,1000
2009-12-07,SINE_FAST_NOISE,SELL,1000
2009-12-11,SINE_FAST_NOISE,BUY,1000
2009-12-14,SINE_FAST_NOISE,SELL,1000
2009-12-17,SINE_FAST_NOISE,BUY,1000
2009-12-18,SINE_FAST_NOISE,SELL,1000
2009-12-21,SINE_FAST_NOISE,BUY,1000
2009-12-23,SINE_FAST_NOISE,SELL,1000
2009-12-24,SINE_FAST_NOISE,BUY,1000
